Language,GitURL,GitRef,BuildTool,BuildStatus,FileCount,LinesofCode
python,https://github.com/sellist/minesweeper-flask-api,dfb1b0c48facda19bf4b15d3b208afd0fe8b213a,pip,pass,639,162365
python,https://github.com/uccubecats/LEOPARDSat-PMACS,f5b277bc6f53fecbdd6c8a3b2e6c47be2128125a,pip,pass,634,162821
python,https://github.com/jayhusemi/mosaicml-composer-2023Nov,b0a4f2a59dfea72bf28095f24522fe99577eaf63,pip,pass,1026,207413
python,https://github.com/RaghulRajM/Experiment-Design,287bfbbd8c94701e5ee946e3201e59d66cbf9cc5,pip,pass,623,162118
python,https://github.com/kcinnick/posh,c6e372e0c99664787799863175af926906f83c95,pip,pass,635,162717
python,https://github.com/SEEWON/Webcat,19e2dff1d7a8729370f780bf8335321731c30b17,pip,pass,645,162892
python,https://github.com/3centi/Drft2List-Lite-StrmLit,b3e0451e7247a520714fb5d471082ed4e7e6f05d,pip,pass,624,162150
python,https://github.com/Alejandrobaltodano2/P_Atlantis_Web,9fec911b7258c60cc5e61aeacd04dd6b66689541,pip,pass,4244,1039533
python,https://github.com/ttsukagoshi/niad-deepl-glossary-generator,327937b4834ec15fdd6df2c83ae9a91cf26d60b1,pip,pass,629,162301
python,https://github.com/johnsonhk88/ai-age-gender-detection,4ae17ba0b2c19f2733f12ed1e507580e3673d16d,pip,pass,624,162362
python,https://github.com/thisSELFmySELF/IBM-Back-End-Development-Capstone-Project,b7e0ca0085f88dd1f2b50a2b4ab0e7ae64efb85d,pip,pass,634,162356
python,https://github.com/RangaRaja-R/to-do-app-using-react-djangoRest,9e08b74cb9a15892625c2eee48fe7797528abbbf,pip,pass,637,162252
python,https://github.com/tomo1833/djang-api-example,3060690312b33f305951dd510bdf011038f417f7,pip,pass,632,162180
python,https://github.com/adeliadev/todo-list,5341a774fbdfa332f6e48f127420a4df49abf8d7,pip,pass,1061,302432
python,https://github.com/jenish04/Resume_Parser_DS,d40044d6b55094cc65626c60f670917c91701583,pip,pass,648,163109
python,https://github.com/mdgjohnny/ada-tech-02,8fb92d37a3af4c0b12e2833d19db60715a6f7cc1,pip,pass,629,162735
python,https://github.com/toanctran/vercel_app_yt_api,3ff1ade349d124d8db535c28f7192ef5562f854c,pip,pass,623,162058
python,https://github.com/greg-finley/dropbox-to-gcs,b1fa7e6c52c37c437f082cedffa387d14dafc3d3,pip,pass,629,162273
python,https://github.com/Balaji19970912/dave_gray_python,77e03697c69aec514357145c337c3f26f19b3483,pip,pass,661,162444
