Language,GitURL,GitRef,BuildTool,BuildStatus,ErrorMessage
java,https://github.com/pinpoint-apm/pinpoint,4474ed0dad76f5d4ca8d0cff49b273a6151bc8d4,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/cryptomator/cryptomator,e994133177ec12148e78c8a67e0afc0948f9e5ef,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/LcsCho/kh12-final5,78f160910b6c63d3b5711622f1e21d2fa86f855e,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/alharazinuseiba1/ProjectPipeline,80591ec6ad3aa0c70c6d255f0c111c6f794f9225,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/wgbruno/Library-Site,e050ef4968e6d98b85f1f90a1b18bfca57bce859,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/lucasrluz/ems-api,c3bd584ebc2475574a765a4696d0b4e9c97a3ee4,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/PavlidisLab/Gemma,f3dd16afff0de8286a5ac002e82282f2854179bb,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/LaurenEBaker/Corprate_Hellscape,67e15979390681a11687bd41eecc0dcd81474ef5,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/kwm0304/challenge-tracker,3cb3dbe3d5091f6d595bf78c5f5ed006ba5bdcd5,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/ENC2023/calculadora-ricardo-qm,eb5d51aad882ea0cecb1b4db5eaf2fb23cdcd33a,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/sandra3112/workouts_GT,73b7d6b663f65577b3393eb9da1515a10f53417e,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/metasfresh/metasfresh,b3508beec28c3807d963f90fa3d1fa2d82221ff0,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/nathangarret/exerciciosJava-Metodos,63a553efdbc5a16adaf37d2d0fff4c8c92239b06,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/talharic/Spring-Microservices,13b1ecbbb1c3af7477c4e98754a73289c3115a36,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/GuilhermeRenno/Trabalho_WebAPI,fdb350cf135caf133a7cd448807246a652904e84,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/gachaukingori/Oms,0c8583a4d7fc08baed61bdb635b4559c912efd2c,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/GrnDev1/job4j_cinema,1b704aa368b5cb40011e7358d3ffa832fa8b5225,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/TheKraken9/Nba_statistics,e172cf8c40766317581869cec6091d20b25e0c74,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/pawan9835/spring-boot-demo-todo-app,fa55ad99df9a78dd3d5b17641b9460dab3f47587,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/elianetamara/cursos-java,1149b77371c1c44a54fcca3bf88bed69ce4f958b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/Pavel-Fomchenkov/hw2-10,b50f6a5f6a1e3702536c0a3a6fc5d45d603385cb,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/oleh-nahailenko/red-black-tree,5217f91f625f0dcafd62ddb26f1277b101cc1723,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/bhushan113/SpringwithES,d60f4f934303cd465ea147c2be89eee2ca181351,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/Ivzilol/Pastry-Shop,0f41624cb57e6017fcec0dab71598c11a2f80b41,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/chkypros/AdventOfCode,f558d39cb957f09cb1e53e2cb212b49b4f342334,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/eclipse-platform/eclipse.platform.swt,eab8a04c6cd2191141ced42b065a55f843d7a320,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/kaitbunny/mundomangas,7d3b383467680aff0f49f06b5a4ccf2967ed1e37,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/joaoeffs/portal-aluno-java,8384ee75d2ae9083d124a1b22528f829d2d4dfa7,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/halkszavu/Project-Rossini,ff37714863868fbd23c1a8e6849d6f4c55268863,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/TheEvergreenStateCollege/upper-division-cs,3ad36553b53cf7c3d75c7f64e78245a0a75bc667,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/lealceldeiro/gems,573b012ca1dbb736c7f81f79e3246495329c7b8b,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/MrHsiehVCSClasses/u5pp-classes-ReginaMC,d32f9cd2d83e5cbe0220b5403f28eaff00c82418,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/Kartik2057/TailoredClothing-Backend,5668f80542f72b00b70bc74f2fd536a44b80fc33,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/pgaertig/mercury,ff6ad1f228d029ab94ca27130da1f1ceea7c816a,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/korrova11/Homework2.8,df518dbb7dc51d7234c56ee51a1c75294cad73ae,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/ignacioaalvarezc/back-courses-spring,9b0eae45e237a4cf61f101acc1d3d1effae5421f,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/bengagioussama/Foyer-Spring-Boot,23d8a99e1c18990d5663bfc31c78c74b492e7cf6,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/mladen081/springboot-microservices,c60c39b3091f554470371cd9035ccc9ebdc49413,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/palukurisainikhil/jwtsessionmanagementwithredis,870e4967b91f0cfdadf7cf8004e09b19e15cead0,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/jeleniasty/bet-app,bb5e7bba20cb8aa774af9f28ebe8294ff9833737,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
java,https://github.com/marilliadantas/srbarriga-automation,0baa6a1c145c4259b587a7106e8e84105a08a4dc,maven,fail,Command 'mvn clean install' returned non-zero exit status 1.
